class,file,source_id,source_folder
airplane,airplane_1.pt,10155655850468db78d106ce0a280f87.pt,02691156
airplane,airplane_10.pt,10c7cdfdffe2243b88a89a28f04ce622.pt,02691156
airplane,airplane_100.pt,157936971ef9b6bb858b20d410ebdb99.pt,02691156
airplane,airplane_1000.pt,4a559ef6547b685d8aed56c1a220a07d.pt,02691156
airplane,airplane_1001.pt,4a6961377146f08cb45fd154bd3b6957.pt,02691156
airplane,airplane_1002.pt,4a7b3bb0f7e4e13af7f031a34b185310.pt,02691156
airplane,airplane_1003.pt,4a837740b388aa45d8ff6111270336a9.pt,02691156
airplane,airplane_1004.pt,4a9d28a5f272853fbbf3143b1cb6076a.pt,02691156
airplane,airplane_1005.pt,4a9d3df03a7d41d77209009cfb89d4bd.pt,02691156
airplane,airplane_1006.pt,4a9f55420d17c815d37636af9c7bcc34.pt,02691156
airplane,airplane_1007.pt,4ad92be763c2ded8fca1f1143bb6bc17.pt,02691156
airplane,airplane_1008.pt,4ae3924f14d2c0084c3a35cee92bb95b.pt,02691156
airplane,airplane_1009.pt,4ae3b41081645ca3e70b97b9b33fd6d6.pt,02691156
airplane,airplane_101.pt,157a81baeb10914566cf1b4a8fc3914e.pt,02691156
airplane,airplane_1010.pt,4afcc2cf695baea99a6e43b878d5b335.pt,02691156
airplane,airplane_1011.pt,4b0f44a76ef66ec9491bc6c980bcf9e4.pt,02691156
airplane,airplane_1012.pt,4b10780b9e0f93f1d32761b337f8b72a.pt,02691156
airplane,airplane_1013.pt,4b20c1736440ff9d90dd6eb126f6cbbb.pt,02691156
airplane,airplane_1014.pt,4b4782c572fa8b11a20c7111a5d0d7fc.pt,02691156
airplane,airplane_1015.pt,4b4fd540cab0cdf3f38bce64a8733419.pt,02691156
airplane,airplane_1016.pt,4b623f70c9853080aac5531514d15662.pt,02691156
airplane,airplane_1017.pt,4ba7b11cd496e3be69176f0174b7620c.pt,02691156
airplane,airplane_1018.pt,4bae467a3dad502b90b1d6deb98feec6.pt,02691156
airplane,airplane_1019.pt,4bb41171f7e6505bc32f927674bfca67.pt,02691156
